id,category,text,source,written_by,status
adm-001,admissions,"Applicants to the BS Computer Science program at NUML must hold an Intermediate qualification with at least 50 percent marks in one of the following subject combinations: Maths, Physics and Chemistry; Maths, Stats and Computer; Maths, Physics and Computer; Maths, Stats and Physics; Maths, Stats and Economics; or Physics, Chemistry and Biology. A Diploma in Associate Engineering with a minimum 60 percent aggregate in a relevant discipline is also accepted. Candidates admitted without Mathematics at the intermediate level must clear a 6-credit-hour Mathematics deficiency course within their first year. All applicants are required to appear in the NUML entry test, which assesses English, Mathematics, and analytical reasoning; a valid NTS GAT-General or GRE International score can exempt a candidate from the general portion, though the written/subjective section may still apply depending on the faculty. Final selection combines previous academic results, the entry test score, and an interview.","Admissions Office, confirmed in person",Minahil,verified
adm-002,admissions,"To apply at NUML Islamabad, a candidate registers on the official online admission system, hosted separately at onlineadmission.numl.edu.pk, by selecting campus and admission type, then entering basic details. An Application ID and password are emailed to the applicant. Using these credentials, the applicant logs back in and completes every section of the form - Basic Information, Residence, Academics, Guardians, and Additional Information - then uploads scanned copies of required documents such as academic certificates and CNIC, and finally accepts the undertaking checkbox before submitting. Incomplete or late applications are not entertained under any circumstances, so applicants should review every section carefully before the deadline rather than submitting hastily and hoping to correct mistakes afterward, since the system does not allow changes once submitted.",numl.edu.pk/admission,Minahil,verified
adm-003,admissions,"NUML holds two main admission intakes each year, Fall and Spring, across its Islamabad campus and all regional campuses. Functional language courses, such as short certificates and diplomas offered through the Faculty of Languages, run separately from these two main intakes and usually start around June each year. Exact opening and closing dates for each intake shift slightly from year to year and are published on the official admission calendar before every cycle, rather than following a fixed calendar date. Because of this, applicants should not plan around a previous year's schedule; the safest approach is to check the current admission calendar on the NUML website, or contact the Admissions Office directly, once a new academic year approaches.",numl.edu.pk/admission/home,Minahil,verified
adm-004,admissions,"Undergraduate admission at NUML depends on previous academic results, an entry test, and an interview considered together rather than any single factor alone. NUML's own entry test covers English, Mathematics, and analytical reasoning, and is administered separately for each faculty according to its own schedule. A valid NTS GAT-General score may exempt a candidate from retaking NUML's General test, but the written or subjective portion may still be required depending on the specific faculty a candidate is applying to. Because the final merit position is calculated from a combination of all three components, a strong score on just one part, such as the academic record, does not guarantee admission on its own; candidates should prepare adequately for the test and interview stages as well.",numl.edu.pk/admission/eligibility,Minahil,verified
adm-005,admissions,"A candidate can apply to up to three undergraduate programs within the same faculty using one application ID and one processing fee, with test and interview marks considered across all three program choices. Applying to a program in a different faculty requires registering a separate application ID and paying an additional processing fee for that faculty. This distinction matters for candidates shortlisting programs across, for example, both the Faculty of Engineering and Computer Sciences and the Faculty of Management Studies, since combining choices from different faculties under a single application is not possible and doing so would require submitting two separate applications with two separate processing fee payments before the deadline.",numl.edu.pk/admission/faqs,Minahil,verified
adm-006,admissions,"A candidate awaiting their Intermediate (HSSC) result can still apply and appear in the entry test and interview as a provisional candidate, meaning they are not required to hold a finalized transcript at the time of applying. The final result must be submitted within 7 days of the start of classes, or the provisional admission is cancelled outright with no further extension granted. This provisional route does not apply to every program at NUML; graduate and professional programs such as MS, MPhil, PhD, MBA, BS Bridging, ADCP, and Functional Course programs require a final, signed degree or transcript at the time of application, so provisional applicants should confirm which category their intended program falls under before relying on this option.",numl.edu.pk/admission_navigation,Minahil,verified
adm-007,admissions,"Provisional admission based on an awaited or web result is not accepted for MS, MPhil, PhD, MBA, BS Bridging, ADCP, or Functional Course programs at NUML. A final, signed degree or transcript is required at the time of application for these programs, unlike standard undergraduate BS admission, where a provisional candidate awaiting their Intermediate result can still apply and is only required to submit the final result within 7 days of classes starting. Applicants to these excluded programs who do not yet have their final degree or transcript in hand should wait until it is issued before beginning the online application, since submitting an incomplete or provisional record for these specific categories will not be processed by the Admissions Office.",numl.edu.pk/admission_navigation,Minahil,verified
adm-008,admissions,"NUML reserves quota-based admission seats for categories including students from Balochistan, differently-abled students, wards of Shuhada, wards of army personnel (processed through the W&R directorate only), and sports-based candidates who hold provincial, national, or international certificates. These quota seats are separate from the general merit list, meaning a candidate who does not qualify on open merit may still secure a seat under an applicable quota category. Eligible applicants should indicate the relevant quota category clearly on their application and confirm the required supporting documents with the Admissions Office well before the deadline, since each quota category carries its own specific documentation requirements and, in the case of the sports quota, selected candidates receive a full fee waiver and free hostel accommodation as part of the award.",numl.edu.pk/admission/faqs,Minahil,verified
adm-009,admissions,"Eligibility for most BS programs at NUML requires FSc, ICS, I.Com, or FA with a minimum of 45 percent marks, or an A-Level qualification with a minimum of 50 percent marks. Some programs prefer candidates who studied Statistics, Mathematics, Physics, Economics, Computer Science, or Commerce at the intermediate level, though this preference does not always translate into a strict subject requirement across every degree. Because exact requirements vary by program, and specific degrees such as BS Computer Science carry their own stricter subject-combination criteria, applicants should confirm the eligibility page for the specific program they intend to apply for rather than assuming the general 45 or 50 percent threshold applies uniformly across all undergraduate offerings at the university.",numl.edu.pk/admission/eligibility,Minahil,verified
adm-010,admissions,"Students admitted to BS Computer Science or Engineering-related programs without a Mathematics background at the intermediate level are required to complete a Mathematics deficiency course of 6 credit hours within their first two semesters of enrollment. This requirement applies specifically to programs under the Faculty of Engineering and Computer Sciences, and the deficiency course must be cleared before a student is allowed to proceed further in their degree without it affecting their academic standing. This deficiency-course route is what allows Pre-Medical background students, who would not otherwise meet the Mathematics-based subject-combination requirement, to still be admitted into BS Computer Science, provided they complete this additional coursework alongside their regular first-year subjects.",numl.edu.pk/admission/faqs,Minahil,verified
